iter	Passed	Remaining
0	1	171
1	3	152
2	4	143
3	5	134
4	7	136
5	8	138
6	10	140
7	12	140
8	14	145
9	16	147
10	18	148
11	20	150
12	22	150
13	24	150
14	26	149
15	28	148
16	30	147
17	32	146
18	33	144
19	35	143
20	37	141
21	39	140
22	41	138
23	43	137
24	45	135
25	47	134
26	48	132
27	51	132
28	53	131
29	56	131
30	58	129
31	60	128
32	63	128
33	65	126
34	67	124
35	69	123
36	71	121
37	73	119
38	75	117
39	77	115
40	79	114
41	80	111
42	82	109
43	84	107
44	86	105
45	88	104
46	91	102
47	93	101
48	95	99
49	97	97
50	99	95
51	101	93
52	103	92
53	106	90
54	107	88
55	109	86
56	111	84
57	113	82
58	115	80
59	118	78
60	120	77
61	123	75
62	125	73
63	128	72
64	130	70
65	132	68
66	134	66
67	136	64
68	139	62
69	140	60
70	143	58
71	145	56
72	147	54
73	149	52
74	151	50
75	153	48
76	155	46
77	157	44
78	159	42
79	161	40
80	164	38
81	166	36
82	168	34
83	170	32
84	172	30
85	174	28
86	176	26
87	179	24
88	181	22
89	183	20
90	185	18
91	187	16
92	189	14
93	192	12
94	194	10
95	196	8
96	198	6
97	200	4
98	202	2
99	205	0
